T29,Patents,,,,,
834,United Rep. of Tanzania,2020,Grants of patents (number),73,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
834,United Rep. of Tanzania,2021,Grants of patents (number),28,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
834,United Rep. of Tanzania,2022,Grants of patents (number),34,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
840,United States of America,1985,Resident patent filings (per million population),268,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
840,United States of America,1995,Resident patent filings (per million population),466,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
840,United States of America,2005,Resident patent filings (per million population),703,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
840,United States of America,2010,Resident patent filings (per million population),782,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
840,United States of America,2020,Resident patent filings (per million population),813,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
840,United States of America,2021,Resident patent filings (per million population),790,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
840,United States of America,2022,Resident patent filings (per million population),757,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
840,United States of America,1985,Grants of patents (number),"71,661",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
840,United States of America,1995,Grants of patents (number),"101,419",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
840,United States of America,2005,Grants of patents (number),"143,806",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
840,United States of America,2010,Grants of patents (number),"219,614",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
840,United States of America,2020,Grants of patents (number),"351,993",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
840,United States of America,2021,Grants of patents (number),"327,307",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
840,United States of America,2022,Grants of patents (number),"323,410",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
840,United States of America,2005,Patents in force (number),"1,683,968",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
840,United States of America,2010,Patents in force (number),"2,017,318",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
840,United States of America,2020,Patents in force (number),"3,348,531",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
840,United States of America,2021,Patents in force (number),"3,327,540",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
840,United States of America,2022,Patents in force (number),"3,343,159",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
858,Uruguay,1985,Resident patent filings (per million population),21,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
858,Uruguay,1995,Resident patent filings (per million population),11,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
858,Uruguay,2005,Resident patent filings (per million population),7,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
858,Uruguay,2010,Resident patent filings (per million population),7,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
858,Uruguay,1985,Grants of patents (number),196,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
858,Uruguay,1995,Grants of patents (number),36,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
858,Uruguay,2010,Grants of patents (number),29,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
858,Uruguay,2010,Patents in force (number),877,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
860,Uzbekistan,1995,Resident patent filings (per million population),46,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
860,Uzbekistan,2005,Resident patent filings (per million population),10,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
860,Uzbekistan,2010,Resident patent filings (per million population),13,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
860,Uzbekistan,2020,Resident patent filings (per million population),10,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
860,Uzbekistan,2021,Resident patent filings (per million population),12,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
860,Uzbekistan,2022,Resident patent filings (per million population),13,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
860,Uzbekistan,1995,Grants of patents (number),"1,233",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
860,Uzbekistan,2005,Grants of patents (number),407,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
860,Uzbekistan,2010,Grants of patents (number),192,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
860,Uzbekistan,2020,Grants of patents (number),278,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
860,Uzbekistan,2021,Grants of patents (number),298,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
860,Uzbekistan,2022,Grants of patents (number),559,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
860,Uzbekistan,2005,Patents in force (number),"1,263",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
860,Uzbekistan,2010,Patents in force (number),"1,253",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
860,Uzbekistan,2020,Patents in force (number),"1,159",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
860,Uzbekistan,2021,Patents in force (number),"1,217",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
860,Uzbekistan,2022,Patents in force (number),"1,413",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
862,Venezuela (Boliv. Rep. of),1985,Resident patent filings (per million population),13,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
862,Venezuela (Boliv. Rep. of),2005,Resident patent filings (per million population),5,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
862,Venezuela (Boliv. Rep. of),2010,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
862,Venezuela (Boliv. Rep. of),2022,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
862,Venezuela (Boliv. Rep. of),1985,Grants of patents (number),351,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
862,Venezuela (Boliv. Rep. of),2020,Grants of patents (number),58,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
862,Venezuela (Boliv. Rep. of),2022,Grants of patents (number),317,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
862,Venezuela (Boliv. Rep. of),2021,Patents in force (number),212,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
